benchmark,width,rob,rs,lsq,ifq,cdb,alu,mul,div,alu_lat,mul_lat,div_lat,mem_lat,fwd,pht,btb,ras,cycles,committed,fetched,issued,ipc,c_alu,c_mul,c_div,c_load,c_store,c_branch,branches,mispredicts,mispred_rate,flushes,squashed,mov,stall_rob,stall_rs,stall_lsq,stall_front,hit_cap
ilp_parallel,6,128,128,32,32,6,1,1,1,1,3,10,5,1,1024,256,16,3059,3002,3053,3021,0.981366,2502,0,0,0,0,500,503,12,0.0238569,12,19,0,2546,0,0,12,0
ilp_parallel,6,128,128,32,32,6,2,1,1,1,3,10,5,1,1024,256,16,1613,3002,3161,3129,1.86113,2502,0,0,0,0,500,500,12,0.024,12,127,0,1243,0,0,12,0
ilp_parallel,6,128,128,32,32,6,3,1,1,1,3,10,5,1,1024,256,16,1077,3002,3161,3129,2.78737,2502,0,0,0,0,500,500,12,0.024,12,127,0,520,0,0,12,0
ilp_parallel,6,128,128,32,32,6,4,1,1,1,3,10,5,1,1024,256,16,1017,3002,3044,3016,2.95182,2502,0,0,0,0,500,502,12,0.0239044,12,14,0,454,0,0,12,0
ilp_parallel,6,128,128,32,32,6,6,1,1,1,3,10,5,1,1024,256,16,550,3002,3020,3014,5.45818,2502,0,0,0,0,500,500,12,0.024,12,12,0,0,0,0,12,0
matmul,6,128,128,32,32,6,1,1,1,1,3,10,5,1,1024,256,16,12997,16466,33977,29516,1.26691,7514,3468,0,3456,144,1884,2536,238,0.0938486,193,13050,0,2573,0,0,3088,0
matmul,6,128,128,32,32,6,2,1,1,1,3,10,5,1,1024,256,16,14175,16466,23979,22592,1.16162,7514,3468,0,3456,144,1884,2609,553,0.211959,336,6126,0,0,0,0,2557,0
matmul,6,128,128,32,32,6,3,1,1,1,3,10,5,1,1024,256,16,18462,16466,26969,23356,0.891886,7514,3468,0,3456,144,1884,2770,909,0.328159,765,6890,0,0,0,0,2616,0
matmul,6,128,128,32,32,6,4,1,1,1,3,10,5,1,1024,256,16,18480,16466,27000,23376,0.891017,7514,3468,0,3456,144,1884,2772,911,0.328644,767,6910,0,0,0,0,2618,0
matmul,6,128,128,32,32,6,6,1,1,1,3,10,5,1,1024,256,16,18480,16466,27000,23376,0.891017,7514,3468,0,3456,144,1884,2772,911,0.328644,767,6910,0,0,0,0,2618,0
vecadd,6,128,128,32,32,6,1,1,1,1,3,10,5,1,1024,256,16,1621,3074,3158,3129,1.89636,1026,0,0,1024,512,512,512,12,0.0234375,12,55,0,0,0,1226,12,0
vecadd,6,128,128,32,32,6,2,1,1,1,3,10,5,1,1024,256,16,893,3074,3137,3105,3.44233,1026,0,0,1024,512,512,517,12,0.0232108,12,31,0,0,0,289,12,0
vecadd,6,128,128,32,32,6,3,1,1,1,3,10,5,1,1024,256,16,610,3074,3092,3086,5.03934,1026,0,0,1024,512,512,514,12,0.0233463,12,12,0,0,0,0,12,0
vecadd,6,128,128,32,32,6,4,1,1,1,3,10,5,1,1024,256,16,610,3074,3092,3086,5.03934,1026,0,0,1024,512,512,514,12,0.0233463,12,12,0,0,0,0,12,0
vecadd,6,128,128,32,32,6,6,1,1,1,3,10,5,1,1024,256,16,610,3074,3092,3086,5.03934,1026,0,0,1024,512,512,514,12,0.0233463,12,12,0,0,0,0,12,0
saxpy,6,128,128,32,32,6,1,1,1,1,3,10,5,1,1024,256,16,1656,3587,3622,3603,2.16606,1027,512,0,1024,512,512,514,12,0.0233463,12,16,0,0,0,1065,28,0
saxpy,6,128,128,32,32,6,2,1,1,1,3,10,5,1,1024,256,16,1740,3587,3594,3587,2.06149,1027,512,0,1024,512,512,512,12,0.0234375,12,0,0,0,0,1077,127,0
saxpy,6,128,128,32,32,6,3,1,1,1,3,10,5,1,1024,256,16,1709,3587,3607,3601,2.09889,1027,512,0,1024,512,512,514,12,0.0233463,12,14,0,0,0,1052,146,0
saxpy,6,128,128,32,32,6,4,1,1,1,3,10,5,1,1024,256,16,1709,3587,3607,3601,2.09889,1027,512,0,1024,512,512,514,12,0.0233463,12,14,0,0,0,1052,146,0
saxpy,6,128,128,32,32,6,6,1,1,1,3,10,5,1,1024,256,16,1709,3587,3607,3601,2.09889,1027,512,0,1024,512,512,514,12,0.0233463,12,14,0,0,0,1052,146,0
