benchmark,width,rob,rs,lsq,ifq,cdb,alu,mul,div,alu_lat,mul_lat,div_lat,mem_lat,fwd,pht,btb,ras,cycles,committed,fetched,issued,ipc,c_alu,c_mul,c_div,c_load,c_store,c_branch,branches,mispredicts,mispred_rate,flushes,squashed,mov,stall_rob,stall_rs,stall_lsq,stall_front,hit_cap
vecadd,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,128,32,32,4,2,1,1,1,3,10,5,0,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
saxpy,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,1735,3587,3615,3596,2.06744,1027,512,0,1024,512,512,513,12,0.0233918,12,9,0,0,0,802,27,0
saxpy,4,128,128,32,32,4,2,1,1,1,3,10,5,0,1024,256,16,1735,3587,3615,3596,2.06744,1027,512,0,1024,512,512,513,12,0.0233918,12,9,0,0,0,802,27,0
dotprod,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,1766,3075,3097,3088,1.74122,1027,512,0,1024,0,512,514,12,0.0233463,12,13,0,0,0,865,45,0
dotprod,4,128,128,32,32,4,2,1,1,1,3,10,5,0,1024,256,16,1766,3075,3097,3088,1.74122,1027,512,0,1024,0,512,514,12,0.0233463,12,13,0,0,0,865,45,0
ptrchase,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,2598,1538,1570,1538,0.591994,514,0,0,512,0,512,512,12,0.0234375,12,0,0,0,0,2311,51,0
ptrchase,4,128,128,32,32,4,2,1,1,1,3,10,5,0,1024,256,16,2598,1538,1570,1538,0.591994,514,0,0,512,0,512,512,12,0.0234375,12,0,0,0,0,2311,51,0
matmul,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,13591,16466,19725,18502,1.21154,7514,3468,0,3456,144,1884,2130,418,0.196244,347,2036,0,0,0,0,2044,0
matmul,4,128,128,32,32,4,2,1,1,1,3,10,5,0,1024,256,16,13591,16466,19725,18502,1.21154,7514,3468,0,3456,144,1884,2130,418,0.196244,347,2036,0,0,0,0,2044,0
