benchmark,width,rob,rs,lsq,ifq,cdb,alu,mul,div,alu_lat,mul_lat,div_lat,mem_lat,fwd,pht,btb,ras,cycles,committed,fetched,issued,ipc,c_alu,c_mul,c_div,c_load,c_store,c_branch,branches,mispredicts,mispred_rate,flushes,squashed,mov,stall_rob,stall_rs,stall_lsq,stall_front,hit_cap
vecadd,4,128,128,32,2,4,2,1,1,1,3,10,5,1,1024,256,16,1610,3074,3080,3078,1.90932,1026,0,0,1024,512,512,512,12,0.0234375,12,4,0,0,0,0,1540,0
vecadd,4,128,128,32,4,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,128,32,8,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,128,32,16,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,128,32,64,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
dotprod,4,128,128,32,2,4,2,1,1,1,3,10,5,1,1024,256,16,1647,3075,3081,3079,1.86703,1027,512,0,1024,0,512,512,12,0.0234375,12,4,0,0,0,0,1541,0
dotprod,4,128,128,32,4,4,2,1,1,1,3,10,5,1,1024,256,16,1663,3075,3085,3081,1.84907,1027,512,0,1024,0,512,513,12,0.0233918,12,6,0,0,0,483,514,0
dotprod,4,128,128,32,8,4,2,1,1,1,3,10,5,1,1024,256,16,1736,3075,3085,3081,1.77131,1027,512,0,1024,0,512,513,12,0.0233918,12,6,0,0,0,620,433,0
dotprod,4,128,128,32,16,4,2,1,1,1,3,10,5,1,1024,256,16,1751,3075,3085,3075,1.75614,1027,512,0,1024,0,512,512,12,0.0234375,12,0,0,0,0,700,288,0
dotprod,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,1766,3075,3097,3088,1.74122,1027,512,0,1024,0,512,514,12,0.0233463,12,13,0,0,0,865,45,0
dotprod,4,128,128,32,64,4,2,1,1,1,3,10,5,1,1024,256,16,1766,3075,3127,3088,1.74122,1027,512,0,1024,0,512,514,12,0.0233463,12,13,0,0,0,877,33,0
dotprod_unroll,4,128,128,32,2,4,2,1,1,1,3,10,5,1,1024,256,16,1714,2697,2734,2732,1.57351,1033,512,0,1024,0,128,128,12,0.09375,12,35,0,0,0,173,1409,0
dotprod_unroll,4,128,128,32,4,4,2,1,1,1,3,10,5,1,1024,256,16,1765,2697,2738,2734,1.52805,1033,512,0,1024,0,128,128,12,0.09375,12,37,0,0,0,856,130,0
dotprod_unroll,4,128,128,32,8,4,2,1,1,1,3,10,5,1,1024,256,16,1695,2697,2743,2735,1.59115,1033,512,0,1024,0,128,128,12,0.09375,12,38,0,0,0,854,56,0
dotprod_unroll,4,128,128,32,16,4,2,1,1,1,3,10,5,1,1024,256,16,1694,2697,2751,2735,1.59209,1033,512,0,1024,0,128,128,12,0.09375,12,38,0,0,0,861,17,0
