benchmark,width,rob,rs,lsq,ifq,cdb,alu,mul,div,alu_lat,mul_lat,div_lat,mem_lat,fwd,pht,btb,ras,cycles,committed,fetched,issued,ipc,c_alu,c_mul,c_div,c_load,c_store,c_branch,branches,mispredicts,mispred_rate,flushes,squashed,mov,stall_rob,stall_rs,stall_lsq,stall_front,hit_cap
vecadd,4,128,128,2,32,4,2,1,1,1,3,10,5,1,1024,256,16,4146,3074,3109,3077,0.741438,1026,0,0,1024,512,512,512,12,0.0234375,12,3,0,0,0,4086,12,0
vecadd,4,128,128,4,32,4,2,1,1,1,3,10,5,1,1024,256,16,2610,3074,3109,3077,1.17778,1026,0,0,1024,512,512,512,12,0.0234375,12,3,0,0,0,2503,13,0
vecadd,4,128,128,8,32,4,2,1,1,1,3,10,5,1,1024,256,16,1442,3074,3110,3081,2.13176,1026,0,0,1024,512,512,512,12,0.0234375,12,7,0,0,0,834,14,0
vecadd,4,128,128,12,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,128,16,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,128,24,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
saxpy,4,128,128,2,32,4,2,1,1,1,3,10,5,1,1024,256,16,5146,3587,3619,3587,0.697046,1027,512,0,1024,512,512,512,12,0.0234375,12,0,0,0,0,5076,12,0
saxpy,4,128,128,4,32,4,2,1,1,1,3,10,5,1,1024,256,16,2896,3587,3621,3589,1.2386,1027,512,0,1024,512,512,512,12,0.0234375,12,2,0,0,0,2754,13,0
saxpy,4,128,128,8,32,4,2,1,1,1,3,10,5,1,1024,256,16,1812,3587,3621,3589,1.97958,1027,512,0,1024,512,512,512,12,0.0234375,12,2,0,0,0,1666,14,0
saxpy,4,128,128,12,32,4,2,1,1,1,3,10,5,1,1024,256,16,2279,3587,3626,3597,1.57394,1027,512,0,1024,512,512,513,12,0.0233918,12,10,0,0,0,1630,16,0
saxpy,4,128,128,16,32,4,2,1,1,1,3,10,5,1,1024,256,16,2046,3587,3622,3594,1.75318,1027,512,0,1024,512,512,513,12,0.0233918,12,7,0,0,0,1297,19,0
saxpy,4,128,128,24,32,4,2,1,1,1,3,10,5,1,1024,256,16,1792,3587,3622,3595,2.00167,1027,512,0,1024,512,512,513,12,0.0233918,12,8,0,0,0,816,24,0
saxpy,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,1735,3587,3615,3596,2.06744,1027,512,0,1024,512,512,513,12,0.0233918,12,9,0,0,0,802,27,0
dotprod,4,128,128,2,32,4,2,1,1,1,3,10,5,1,1024,256,16,3646,3075,3107,3075,0.84339,1027,512,0,1024,0,512,512,12,0.0234375,12,0,0,0,0,3002,13,0
dotprod,4,128,128,4,32,4,2,1,1,1,3,10,5,1,1024,256,16,2145,3075,3107,3075,1.43357,1027,512,0,1024,0,512,512,12,0.0234375,12,0,0,0,0,1499,14,0
dotprod,4,128,128,8,32,4,2,1,1,1,3,10,5,1,1024,256,16,2201,3075,3109,3080,1.39709,1027,512,0,1024,0,512,512,12,0.0234375,12,5,0,0,0,1482,17,0
dotprod,4,128,128,12,32,4,2,1,1,1,3,10,5,1,1024,256,16,1820,3075,3109,3084,1.68956,1027,512,0,1024,0,512,513,12,0.0233918,12,9,0,0,0,994,21,0
dotprod,4,128,128,16,32,4,2,1,1,1,3,10,5,1,1024,256,16,1898,3075,3111,3084,1.62013,1027,512,0,1024,0,512,513,12,0.0233918,12,9,0,0,0,1048,25,0
dotprod,4,128,128,24,32,4,2,1,1,1,3,10,5,1,1024,256,16,1760,3075,3135,3120,1.74716,1027,512,0,1024,0,512,519,12,0.0231214,12,45,0,0,0,880,29,0
dotprod,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,1766,3075,3097,3088,1.74122,1027,512,0,1024,0,512,514,12,0.0233463,12,13,0,0,0,865,45,0
