benchmark,width,rob,rs,lsq,ifq,cdb,alu,mul,div,alu_lat,mul_lat,div_lat,mem_lat,fwd,pht,btb,ras,cycles,committed,fetched,issued,ipc,c_alu,c_mul,c_div,c_load,c_store,c_branch,branches,mispredicts,mispred_rate,flushes,squashed,mov,stall_rob,stall_rs,stall_lsq,stall_front,hit_cap
ptrchase,4,128,128,32,32,4,2,1,1,1,3,10,1,1,1024,256,16,562,1538,1547,1544,2.73665,514,0,0,512,0,512,512,12,0.0234375,12,6,0,0,0,0,515,0
ptrchase,4,128,128,32,32,4,2,1,1,1,3,10,2,1,1024,256,16,1062,1538,1571,1541,1.44821,514,0,0,512,0,512,513,12,0.0233918,12,3,0,0,0,882,73,0
ptrchase,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,2598,1538,1570,1538,0.591994,514,0,0,512,0,512,512,12,0.0234375,12,0,0,0,0,2311,51,0
ptrchase,4,128,128,32,32,4,2,1,1,1,3,10,10,1,1024,256,16,5158,1538,1570,1538,0.298178,514,0,0,512,0,512,512,12,0.0234375,12,0,0,0,0,4660,47,0
ptrchase,4,128,128,32,32,4,2,1,1,1,3,10,20,1,1024,256,16,10278,1538,1570,1538,0.14964,514,0,0,512,0,512,512,12,0.0234375,12,0,0,0,0,9352,45,0
ptrchase,4,128,128,32,32,4,2,1,1,1,3,10,50,1,1024,256,16,25638,1538,1570,1538,0.0599891,514,0,0,512,0,512,512,12,0.0234375,12,0,0,0,0,23423,44,0
ptrchase,4,128,128,32,32,4,2,1,1,1,3,10,100,1,1024,256,16,51238,1538,1570,1538,0.0300168,514,0,0,512,0,512,512,12,0.0234375,12,0,0,0,0,46873,44,0
vecadd,4,128,128,32,32,4,2,1,1,1,3,10,1,1,1024,256,16,1073,3074,3084,3080,2.86486,1026,0,0,1024,512,512,512,12,0.0234375,12,6,0,0,0,0,514,0
vecadd,4,128,128,32,32,4,2,1,1,1,3,10,2,1,1024,256,16,1074,3074,3084,3080,2.8622,1026,0,0,1024,512,512,512,12,0.0234375,12,6,0,0,0,0,514,0
vecadd,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,128,32,32,4,2,1,1,1,3,10,10,1,1024,256,16,1170,3074,3084,3080,2.62735,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,128,32,32,4,2,1,1,1,3,10,20,1,1024,256,16,1335,3074,3110,3081,2.30262,1026,0,0,1024,512,512,513,12,0.0233918,12,7,0,0,0,537,22,0
vecadd,4,128,128,32,32,4,2,1,1,1,3,10,50,1,1024,256,16,3045,3074,3110,3081,1.00952,1026,0,0,1024,512,512,513,12,0.0233918,12,7,0,0,0,1887,22,0
vecadd,4,128,128,32,32,4,2,1,1,1,3,10,100,1,1024,256,16,5895,3074,3110,3081,0.521459,1026,0,0,1024,512,512,513,12,0.0233918,12,7,0,0,0,4137,22,0
saxpy,4,128,128,32,32,4,2,1,1,1,3,10,1,1,1024,256,16,1604,3587,3619,3595,2.23628,1027,512,0,1024,512,512,513,12,0.0233918,12,8,0,0,0,745,25,0
saxpy,4,128,128,32,32,4,2,1,1,1,3,10,2,1,1024,256,16,1690,3587,3619,3596,2.12249,1027,512,0,1024,512,512,513,12,0.0233918,12,9,0,0,0,741,27,0
saxpy,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,1735,3587,3615,3596,2.06744,1027,512,0,1024,512,512,513,12,0.0233918,12,9,0,0,0,802,27,0
saxpy,4,128,128,32,32,4,2,1,1,1,3,10,10,1,1024,256,16,1760,3587,3626,3597,2.03807,1027,512,0,1024,512,512,513,12,0.0233918,12,10,0,0,0,805,27,0
saxpy,4,128,128,32,32,4,2,1,1,1,3,10,20,1,1024,256,16,2301,3587,3622,3591,1.55889,1027,512,0,1024,512,512,512,12,0.0234375,12,4,0,0,0,1599,22,0
saxpy,4,128,128,32,32,4,2,1,1,1,3,10,50,1,1024,256,16,3176,3587,3622,3591,1.12941,1027,512,0,1024,512,512,512,12,0.0234375,12,4,0,0,0,2474,22,0
saxpy,4,128,128,32,32,4,2,1,1,1,3,10,100,1,1024,256,16,6026,3587,3622,3591,0.595254,1027,512,0,1024,512,512,512,12,0.0234375,12,4,0,0,0,4724,22,0
