benchmark,width,rob,rs,lsq,ifq,cdb,alu,mul,div,alu_lat,mul_lat,div_lat,mem_lat,fwd,pht,btb,ras,cycles,committed,fetched,issued,ipc,c_alu,c_mul,c_div,c_load,c_store,c_branch,branches,mispredicts,mispred_rate,flushes,squashed,mov,stall_rob,stall_rs,stall_lsq,stall_front,hit_cap
mul_heavy,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,4866,2404,2440,2414,0.49404,404,1600,0,0,0,400,401,12,0.0299252,12,10,0,4239,0,0,49,0
mul_heavy,4,128,128,32,32,4,2,2,1,1,3,10,5,1,1024,256,16,2478,2404,2440,2414,0.970137,404,1600,0,0,0,400,401,12,0.0299252,12,10,0,1836,0,0,49,0
mul_heavy,4,128,128,32,32,4,2,3,1,1,3,10,5,1,1024,256,16,1673,2404,2422,2411,1.43694,404,1600,0,0,0,400,401,12,0.0299252,12,7,0,1014,0,0,55,0
mul_heavy,4,128,128,32,32,4,2,4,1,1,3,10,5,1,1024,256,16,1276,2404,2422,2411,1.88401,404,1600,0,0,0,400,401,12,0.0299252,12,7,0,601,0,0,58,0
matmul,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,13591,16466,19725,18502,1.21154,7514,3468,0,3456,144,1884,2130,418,0.196244,347,2036,0,0,0,0,2044,0
matmul,4,128,128,32,32,4,2,2,1,1,3,10,5,1,1024,256,16,10009,16466,19720,18494,1.64512,7514,3468,0,3456,144,1884,2125,407,0.191529,343,2028,0,0,0,0,2043,0
matmul,4,128,128,32,32,4,2,3,1,1,3,10,5,1,1024,256,16,10022,16466,19730,18500,1.64299,7514,3468,0,3456,144,1884,2127,409,0.19229,344,2034,0,0,0,0,2044,0
matmul,4,128,128,32,32,4,2,4,1,1,3,10,5,1,1024,256,16,10022,16466,19730,18500,1.64299,7514,3468,0,3456,144,1884,2127,409,0.19229,344,2034,0,0,0,0,2044,0
dotprod,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,1766,3075,3097,3088,1.74122,1027,512,0,1024,0,512,514,12,0.0233463,12,13,0,0,0,865,45,0
dotprod,4,128,128,32,32,4,2,2,1,1,3,10,5,1,1024,256,16,1146,3075,3085,3081,2.68325,1027,512,0,1024,0,512,513,12,0.0233918,12,6,0,0,0,0,514,0
dotprod,4,128,128,32,32,4,2,3,1,1,3,10,5,1,1024,256,16,1146,3075,3085,3081,2.68325,1027,512,0,1024,0,512,513,12,0.0233918,12,6,0,0,0,0,514,0
dotprod,4,128,128,32,32,4,2,4,1,1,3,10,5,1,1024,256,16,1146,3075,3085,3081,2.68325,1027,512,0,1024,0,512,513,12,0.0233918,12,6,0,0,0,0,514,0
