benchmark,width,rob,rs,lsq,ifq,cdb,alu,mul,div,alu_lat,mul_lat,div_lat,mem_lat,fwd,pht,btb,ras,cycles,committed,fetched,issued,ipc,c_alu,c_mul,c_div,c_load,c_store,c_branch,branches,mispredicts,mispred_rate,flushes,squashed,mov,stall_rob,stall_rs,stall_lsq,stall_front,hit_cap
vecadd,4,8,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,2360,3074,3108,3076,1.30254,1026,0,0,1024,512,512,512,12,0.0234375,12,2,0,2004,0,0,13,0
vecadd,4,12,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1860,3074,3110,3080,1.65269,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,1251,0,0,13,0
vecadd,4,16,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1442,3074,3112,3080,2.13176,1026,0,0,1024,512,512,512,12,0.0234375,12,6,0,834,0,0,14,0
vecadd,4,24,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,32,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,48,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,64,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,96,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
dotprod,4,8,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,2896,3075,3109,3077,1.06181,1027,512,0,1024,0,512,512,12,0.0234375,12,2,0,2504,0,0,13,0
dotprod,4,12,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,2145,3075,3110,3078,1.43357,1027,512,0,1024,0,512,512,12,0.0234375,12,3,0,1670,0,0,13,0
dotprod,4,16,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1978,3075,3107,3075,1.5546,1027,512,0,1024,0,512,512,12,0.0234375,12,0,0,1332,0,0,14,0
dotprod,4,24,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1838,3075,3111,3083,1.67301,1027,512,0,1024,0,512,513,12,0.0233918,12,8,0,1126,0,0,16,0
dotprod,4,32,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1869,3075,3105,3079,1.64526,1027,512,0,1024,0,512,512,12,0.0234375,12,4,0,1122,0,0,18,0
dotprod,4,48,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1810,3075,3109,3082,1.6989,1027,512,0,1024,0,512,513,12,0.0233918,12,7,0,988,0,0,24,0
dotprod,4,64,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1768,3075,3111,3084,1.73925,1027,512,0,1024,0,512,513,12,0.0233918,12,9,0,906,0,0,26,0
dotprod,4,96,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1709,3075,3111,3084,1.7993,1027,512,0,1024,0,512,513,12,0.0233918,12,9,0,820,0,0,49,0
dotprod,4,128,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1691,3075,3109,3084,1.81845,1027,512,0,1024,0,512,513,12,0.0233918,12,9,0,739,0,0,123,0
dotprod_unroll,4,8,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,2873,2697,2766,2734,0.93874,1033,512,0,1024,0,128,128,12,0.09375,12,37,0,2550,0,0,13,0
dotprod_unroll,4,12,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,2063,2697,2765,2733,1.30732,1033,512,0,1024,0,128,128,12,0.09375,12,36,0,1548,0,0,13,0
dotprod_unroll,4,16,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1651,2697,2765,2733,1.63356,1033,512,0,1024,0,128,128,12,0.09375,12,36,0,1036,0,0,13,0
dotprod_unroll,4,24,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,2064,2697,2769,2737,1.30669,1033,512,0,1024,0,128,128,12,0.09375,12,40,0,1344,0,0,14,0
dotprod_unroll,4,32,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1798,2697,2767,2737,1.5,1033,512,0,1024,0,128,128,12,0.09375,12,40,0,1021,0,0,14,0
dotprod_unroll,4,48,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1791,2697,2767,2739,1.50586,1033,512,0,1024,0,128,128,12,0.09375,12,42,0,963,0,0,15,0
dotprod_unroll,4,64,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1748,2697,2763,2740,1.54291,1033,512,0,1024,0,128,128,12,0.09375,12,43,0,928,0,0,16,0
dotprod_unroll,4,96,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1705,2697,2759,2738,1.58182,1033,512,0,1024,0,128,128,12,0.09375,12,41,0,862,0,0,18,0
dotprod_unroll,4,128,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1731,2697,2771,2739,1.55806,1033,512,0,1024,0,128,128,12,0.09375,12,42,0,900,0,0,19,0
matmul,4,8,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,19907,16466,24311,16987,0.827146,7514,3468,0,3456,144,1884,1884,317,0.168259,317,521,0,14778,0,0,328,0
matmul,4,12,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,16440,16466,23724,17852,1.00158,7514,3468,0,3456,144,1884,2064,369,0.178779,337,1386,0,9296,0,0,492,0
matmul,4,16,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,13874,16466,23656,18253,1.18682,7514,3468,0,3456,144,1884,2062,370,0.179437,327,1787,0,7383,0,0,498,0
matmul,4,24,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,13045,16466,23379,18182,1.26225,7514,3468,0,3456,144,1884,2080,382,0.183654,332,1716,0,4742,0,0,938,0
matmul,4,32,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,13402,16466,21934,17581,1.22862,7514,3468,0,3456,144,1884,1917,200,0.10433,180,1115,0,5367,0,0,666,0
matmul,4,48,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,14167,16466,23004,18481,1.16228,7514,3468,0,3456,144,1884,2130,406,0.19061,336,2015,0,1779,0,0,1650,0
matmul,4,64,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,13957,16466,20335,18868,1.17977,7514,3468,0,3456,144,1884,2130,418,0.196244,347,2402,0,366,0,0,1922,0
matmul,4,96,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,13591,16466,19725,18502,1.21154,7514,3468,0,3456,144,1884,2130,418,0.196244,347,2036,0,0,0,0,2044,0
matmul,4,128,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,13591,16466,19725,18502,1.21154,7514,3468,0,3456,144,1884,2130,418,0.196244,347,2036,0,0,0,0,2044,0
ptrchase,4,8,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,2598,1538,1572,1540,0.591994,514,0,0,512,0,512,512,12,0.0234375,12,2,0,2497,0,0,14,0
ptrchase,4,12,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,2598,1538,1570,1538,0.591994,514,0,0,512,0,512,512,12,0.0234375,12,0,0,2487,0,0,15,0
ptrchase,4,16,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,2598,1538,1571,1539,0.591994,514,0,0,512,0,512,512,12,0.0234375,12,1,0,2480,0,0,17,0
ptrchase,4,24,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,2598,1538,1570,1538,0.591994,514,0,0,512,0,512,512,12,0.0234375,12,0,0,2462,0,0,20,0
ptrchase,4,32,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,2598,1538,1572,1540,0.591994,514,0,0,512,0,512,512,12,0.0234375,12,2,0,2448,0,0,23,0
ptrchase,4,48,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,2598,1538,1570,1538,0.591994,514,0,0,512,0,512,512,12,0.0234375,12,0,0,2412,0,0,30,0
ptrchase,4,64,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,2598,1538,1571,1539,0.591994,514,0,0,512,0,512,512,12,0.0234375,12,1,0,2380,0,0,37,0
ptrchase,4,96,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,2598,1538,1570,1538,0.591994,514,0,0,512,0,512,512,12,0.0234375,12,0,0,2312,0,0,50,0
ptrchase,4,128,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,2598,1538,1572,1540,0.591994,514,0,0,512,0,512,512,12,0.0234375,12,2,0,2248,0,0,63,0
saxpy,4,8,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,3312,3587,3621,3589,1.08303,1027,512,0,1024,512,512,512,12,0.0234375,12,2,0,2675,0,0,13,0
saxpy,4,12,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,2646,3587,3622,3592,1.35563,1027,512,0,1024,512,512,512,12,0.0234375,12,5,0,2002,0,0,13,0
saxpy,4,16,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,2144,3587,3624,3592,1.67304,1027,512,0,1024,512,512,512,12,0.0234375,12,5,0,1503,0,0,14,0
saxpy,4,24,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1648,3587,3623,3591,2.17658,1027,512,0,1024,512,512,512,12,0.0234375,12,4,0,1001,0,0,15,0
saxpy,4,32,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,2141,3587,3624,3592,1.67539,1027,512,0,1024,512,512,512,12,0.0234375,12,5,0,1298,0,0,16,0
saxpy,4,48,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1834,3587,3619,3595,1.95583,1027,512,0,1024,512,512,513,12,0.0233918,12,8,0,857,0,0,20,0
saxpy,4,64,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1753,3587,3619,3595,2.04621,1027,512,0,1024,512,512,513,12,0.0233918,12,8,0,789,0,0,25,0
saxpy,4,96,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1682,3587,3626,3597,2.13258,1027,512,0,1024,512,512,513,12,0.0233918,12,10,0,699,0,0,29,0
saxpy,4,128,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1662,3587,3615,3595,2.15824,1027,512,0,1024,512,512,513,12,0.0233918,12,8,0,689,0,0,34,0
ilp_serial,4,8,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,3471,6002,6034,6002,1.72918,4002,0,0,0,0,2000,2000,12,0.006,12,0,0,2841,0,0,14,0
ilp_serial,4,12,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,4033,6002,6043,6011,1.48822,4002,0,0,0,0,2000,2000,12,0.006,12,9,0,3968,0,0,16,0
ilp_serial,4,16,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,4034,6002,6038,6007,1.48785,4002,0,0,0,0,2000,2001,12,0.005997,12,5,0,3959,0,0,18,0
ilp_serial,4,24,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,4026,6002,6055,6023,1.49081,4002,0,0,0,0,2000,2000,12,0.006,12,21,0,3949,0,0,21,0
ilp_serial,4,32,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,3298,6002,6059,6027,1.81989,4002,0,0,0,0,2000,2000,12,0.006,12,25,0,2688,0,0,24,0
ilp_serial,4,48,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,4015,6002,6079,6047,1.49489,4002,0,0,0,0,2000,2000,12,0.006,12,45,0,3919,0,0,29,0
ilp_serial,4,64,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,4006,6002,6038,6007,1.49825,4002,0,0,0,0,2000,2001,12,0.005997,12,5,0,3872,0,0,34,0
ilp_serial,4,96,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,3954,6002,6127,6095,1.51796,4002,0,0,0,0,2000,2000,12,0.006,12,93,0,3802,0,0,65,0
ilp_serial,4,128,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,3119,6002,6038,6006,1.92433,4002,0,0,0,0,2000,2001,12,0.005997,12,4,0,2251,0,0,356,0
ilp_parallel,4,8,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1748,3002,3035,3003,1.71739,2502,0,0,0,0,500,500,12,0.024,12,1,0,1396,0,0,13,0
ilp_parallel,4,12,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1662,3002,3039,3007,1.80626,2502,0,0,0,0,500,500,12,0.024,12,5,0,980,0,0,14,0
ilp_parallel,4,16,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1625,3002,3044,3012,1.84738,2502,0,0,0,0,500,501,12,0.0239521,12,10,0,1057,0,0,15,0
ilp_parallel,4,24,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1608,3002,3054,3024,1.86692,2502,0,0,0,0,500,500,12,0.024,12,22,0,1005,0,0,16,0
ilp_parallel,4,32,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1587,3002,3065,3033,1.89162,2502,0,0,0,0,500,505,12,0.0237624,12,31,0,892,0,0,17,0
ilp_parallel,4,48,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1578,3002,3060,3045,1.90241,2502,0,0,0,0,500,500,12,0.024,12,43,0,934,0,0,20,0
ilp_parallel,4,64,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1579,3002,3047,3015,1.9012,2502,0,0,0,0,500,502,12,0.0239044,12,13,0,864,0,0,25,0
ilp_parallel,4,96,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1561,3002,3078,3074,1.92313,2502,0,0,0,0,500,501,12,0.0239521,12,72,0,840,0,0,77,0
ilp_parallel,4,128,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1553,3002,3114,3110,1.93303,2502,0,0,0,0,500,500,12,0.024,12,108,0,770,0,0,113,0
mul_heavy,4,8,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,5154,2404,2438,2406,0.466434,404,1600,0,0,0,400,400,12,0.03,12,2,0,4510,0,0,13,0
mul_heavy,4,12,128,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,4948,2404,2440,2410,0.485853,404,1600,0,0,0,400,401,12,0.0299252,12,6,0,4433,0,0,13,0
