benchmark,width,rob,rs,lsq,ifq,cdb,alu,mul,div,alu_lat,mul_lat,div_lat,mem_lat,fwd,pht,btb,ras,cycles,committed,fetched,issued,ipc,c_alu,c_mul,c_div,c_load,c_store,c_branch,branches,mispredicts,mispred_rate,flushes,squashed,mov,stall_rob,stall_rs,stall_lsq,stall_front,hit_cap
vecadd,4,128,4,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3079,2.76937,1026,0,0,1024,512,512,512,12,0.0234375,12,5,0,0,500,0,14,0
vecadd,4,128,8,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,12,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,16,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,24,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,32,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,48,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,64,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
dotprod,4,128,4,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1896,3075,3110,3078,1.62184,1027,512,0,1024,0,512,512,12,0.0234375,12,3,0,0,1753,0,13,0
dotprod,4,128,8,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1651,3075,3110,3078,1.86251,1027,512,0,1024,0,512,512,12,0.0234375,12,3,0,0,1273,0,15,0
dotprod,4,128,12,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1677,3075,3109,3080,1.83363,1027,512,0,1024,0,512,512,12,0.0234375,12,5,0,0,1187,0,20,0
dotprod,4,128,16,64,32,4,2,1,1,1,3,10,5,1,1024,256,16,1665,3075,3109,3078,1.84685,1027,512,0,1024,0,512,512,12,0.0234375,12,3,0,0,1153,0,24,0
