axis,value,program,ipc,cycles,commits,hit_cap
baseline,-,branch,0.418197,19608,8200,0
baseline,-,custom_riscv,0.616362,20939,12906,0
baseline,-,riscv_mem,0.672477,13309,8950,0
baseline,-,ilp_loop,0.831503,49271,40969,0
baseline,-,matmul8,0.703818,11054,7780,0
baseline,-,mem_stream,0.744876,132328,98568,0
baseline,-,mix_bench,0.545567,86642,47269,0
--width,1,branch,0.248877,32948,8200,0
--width,1,custom_riscv,0.248608,51913,12906,0
--width,1,riscv_mem,0.247778,36121,8950,0
--width,1,ilp_loop,0.249889,163949,40969,0
--width,1,matmul8,0.248538,31303,7780,0
--width,1,mem_stream,0.249761,394649,98568,0
--width,1,mix_bench,0.249675,189322,47269,0
--width,2,branch,0.361138,22706,8200,0
--width,2,custom_riscv,0.411767,31343,12906,0
--width,2,riscv_mem,0.43091,20770,8950,0
--width,2,ilp_loop,0.499397,82037,40969,0
--width,2,matmul8,0.440269,17671,7780,0
--width,2,mem_stream,0.498642,197673,98568,0
--width,2,mix_bench,0.410592,115124,47269,0
--width,4,branch,0.418197,19608,8200,0
--width,4,custom_riscv,0.616362,20939,12906,0
--width,4,riscv_mem,0.672477,13309,8950,0
--width,4,ilp_loop,0.831503,49271,40969,0
--width,4,matmul8,0.703818,11054,7780,0
--width,4,mem_stream,0.744876,132328,98568,0
--width,4,mix_bench,0.545567,86642,47269,0
--width,8,branch,0.418303,19603,8200,0
--width,8,custom_riscv,0.616774,20925,12906,0
--width,8,riscv_mem,0.8843,10121,8950,0
--width,8,ilp_loop,1.2459,32883,40969,0
--width,8,matmul8,1.08101,7197,7780,0
--width,8,mem_stream,0.744899,132324,98568,0
--width,8,mix_bench,0.606246,77970,47269,0
--cdb,1,branch,0.417898,19622,8200,0
--cdb,1,custom_riscv,0.614981,20986,12906,0
--cdb,1,riscv_mem,0.671367,13331,8950,0
--cdb,1,ilp_loop,0.831284,49284,40969,0
--cdb,1,matmul8,0.703181,11064,7780,0
--cdb,1,mem_stream,0.744421,132409,98568,0
--cdb,1,mix_bench,0.545567,86642,47269,0
--cdb,2,branch,0.418197,19608,8200,0
--cdb,2,custom_riscv,0.616362,20939,12906,0
--cdb,2,riscv_mem,0.672477,13309,8950,0
--cdb,2,ilp_loop,0.831503,49271,40969,0
--cdb,2,matmul8,0.703818,11054,7780,0
--cdb,2,mem_stream,0.744876,132328,98568,0
--cdb,2,mix_bench,0.545567,86642,47269,0
--cdb,4,branch,0.418197,19608,8200,0
--cdb,4,custom_riscv,0.616362,20939,12906,0
--cdb,4,riscv_mem,0.672477,13309,8950,0
--cdb,4,ilp_loop,0.831503,49271,40969,0
--cdb,4,matmul8,0.703818,11054,7780,0
--cdb,4,mem_stream,0.744876,132328,98568,0
--cdb,4,mix_bench,0.545567,86642,47269,0
--cdb,8,branch,0.418197,19608,8200,0
--cdb,8,custom_riscv,0.616362,20939,12906,0
--cdb,8,riscv_mem,0.672477,13309,8950,0
--cdb,8,ilp_loop,0.831503,49271,40969,0
--cdb,8,matmul8,0.703818,11054,7780,0
--cdb,8,mem_stream,0.744876,132328,98568,0
--cdb,8,mix_bench,0.545567,86642,47269,0
--alu,1,branch,0.418175,19609,8200,0
--alu,1,custom_riscv,0.615128,20981,12906,0
--alu,1,riscv_mem,0.671367,13331,8950,0
--alu,1,ilp_loop,0.831284,49284,40969,0
--alu,1,matmul8,0.703754,11055,7780,0
--alu,1,mem_stream,0.744055,132474,98568,0
--alu,1,mix_bench,0.545567,86642,47269,0
--alu,2,branch,0.418197,19608,8200,0
--alu,2,custom_riscv,0.616362,20939,12906,0
--alu,2,riscv_mem,0.672477,13309,8950,0
--alu,2,ilp_loop,0.831503,49271,40969,0
--alu,2,matmul8,0.703818,11054,7780,0
--alu,2,mem_stream,0.744876,132328,98568,0
--alu,2,mix_bench,0.545567,86642,47269,0
--alu,3,branch,0.418218,19607,8200,0
--alu,3,custom_riscv,0.616362,20939,12906,0
--alu,3,riscv_mem,0.672477,13309,8950,0
--alu,3,ilp_loop,0.831706,49259,40969,0
--alu,3,matmul8,0.703881,11053,7780,0
--alu,3,mem_stream,0.745321,132249,98568,0
--alu,3,mix_bench,0.545567,86642,47269,0
--alu,4,branch,0.418218,19607,8200,0
--alu,4,custom_riscv,0.616362,20939,12906,0
--alu,4,riscv_mem,0.672477,13309,8950,0
--alu,4,ilp_loop,0.831706,49259,40969,0
--alu,4,matmul8,0.703881,11053,7780,0
--alu,4,mem_stream,0.745321,132249,98568,0
--alu,4,mix_bench,0.545567,86642,47269,0
--mul-lat,1,branch,0.418197,19608,8200,0
--mul-lat,1,custom_riscv,0.616362,20939,12906,0
--mul-lat,1,riscv_mem,0.672477,13309,8950,0
--mul-lat,1,ilp_loop,0.831503,49271,40969,0
--mul-lat,1,matmul8,0.703881,11053,7780,0
--mul-lat,1,mem_stream,0.744876,132328,98568,0
--mul-lat,1,mix_bench,0.545567,86642,47269,0
--mul-lat,2,branch,0.418197,19608,8200,0
--mul-lat,2,custom_riscv,0.616362,20939,12906,0
--mul-lat,2,riscv_mem,0.672477,13309,8950,0
--mul-lat,2,ilp_loop,0.831503,49271,40969,0
--mul-lat,2,matmul8,0.703881,11053,7780,0
