benchmark,width,rob,rs,lsq,ifq,cdb,alu,mul,div,alu_lat,mul_lat,div_lat,mem_lat,fwd,pht,btb,ras,cycles,committed,fetched,issued,ipc,c_alu,c_mul,c_div,c_load,c_store,c_branch,branches,mispredicts,mispred_rate,flushes,squashed,mov,stall_rob,stall_rs,stall_lsq,stall_front,hit_cap
ilp_serial,1,128,128,64,64,1,1,1,1,1,3,10,5,1,1024,256,16,6039,6002,6004,6003,0.993873,4002,0,0,0,0,2000,2000,12,0.006,12,1,0,0,0,0,12,0
ilp_serial,2,128,128,64,64,2,2,1,1,1,3,10,5,1,1024,256,16,4038,6002,6005,6004,1.48638,4002,0,0,0,0,2000,2000,12,0.006,12,2,0,0,0,0,2001,0
ilp_serial,3,128,128,64,64,3,3,1,1,1,3,10,5,1,1024,256,16,2050,6002,6011,6008,2.9278,4002,0,0,0,0,2000,2000,12,0.006,12,6,0,0,0,0,12,0
ilp_serial,4,128,128,64,64,4,4,2,1,1,3,10,5,1,1024,256,16,2050,6002,6011,6008,2.9278,4002,0,0,0,0,2000,2000,12,0.006,12,6,0,0,0,0,2003,0
ilp_serial,6,128,128,64,64,6,6,3,1,1,3,10,5,1,1024,256,16,2050,6002,6011,6008,2.9278,4002,0,0,0,0,2000,2000,12,0.006,12,6,0,0,0,0,2003,0
ilp_serial,8,128,128,64,64,8,8,4,1,1,3,10,5,1,1024,256,16,2050,6002,6011,6008,2.9278,4002,0,0,0,0,2000,2000,12,0.006,12,6,0,0,0,0,2003,0
ilp_parallel,1,128,128,64,64,1,1,1,1,1,3,10,5,1,1024,256,16,3039,3002,3004,3003,0.987825,2502,0,0,0,0,500,500,12,0.024,12,1,0,0,0,0,12,0
ilp_parallel,2,128,128,64,64,2,2,1,1,1,3,10,5,1,1024,256,16,1551,3002,3008,3006,1.93553,2502,0,0,0,0,500,500,12,0.024,12,4,0,0,0,0,12,0
ilp_parallel,3,128,128,64,64,3,3,1,1,1,3,10,5,1,1024,256,16,1050,3002,3011,3008,2.85905,2502,0,0,0,0,500,500,12,0.024,12,6,0,0,0,0,12,0
ilp_parallel,4,128,128,64,64,4,4,2,1,1,3,10,5,1,1024,256,16,1049,3002,3012,3008,2.86177,2502,0,0,0,0,500,500,12,0.024,12,6,0,0,0,0,502,0
ilp_parallel,6,128,128,64,64,6,6,3,1,1,3,10,5,1,1024,256,16,550,3002,3020,3014,5.45818,2502,0,0,0,0,500,500,12,0.024,12,12,0,0,0,0,12,0
ilp_parallel,8,128,128,64,64,8,8,4,1,1,3,10,5,1,1024,256,16,550,3002,3020,3014,5.45818,2502,0,0,0,0,500,500,12,0.024,12,12,0,0,0,0,503,0
dotprod,1,128,128,64,64,1,1,1,1,1,3,10,5,1,1024,256,16,3184,3075,3077,3076,0.965766,1027,512,0,1024,0,512,512,12,0.0234375,12,1,0,0,0,0,12,0
dotprod,2,128,128,64,64,2,2,1,1,1,3,10,5,1,1024,256,16,1660,3075,3083,3081,1.85241,1027,512,0,1024,0,512,513,12,0.0233918,12,6,0,0,0,0,12,0
dotprod,3,128,128,64,64,3,3,1,1,1,3,10,5,1,1024,256,16,1731,3075,3144,3080,1.77643,1027,512,0,1024,0,512,512,12,0.0234375,12,5,0,582,0,0,12,0
dotprod,4,128,128,64,64,4,4,2,1,1,3,10,5,1,1024,256,16,1146,3075,3085,3081,2.68325,1027,512,0,1024,0,512,513,12,0.0233918,12,6,0,0,0,0,514,0
dotprod,6,128,128,64,64,6,6,3,1,1,3,10,5,1,1024,256,16,646,3075,3093,3087,4.76006,1027,512,0,1024,0,512,514,12,0.0233463,12,12,0,0,0,0,12,0
dotprod,8,128,128,64,64,8,8,4,1,1,3,10,5,1,1024,256,16,646,3075,3093,3087,4.76006,1027,512,0,1024,0,512,514,12,0.0233463,12,12,0,0,0,0,515,0
dotprod_unroll,1,128,128,64,64,1,1,1,1,1,3,10,5,1,1024,256,16,2857,2697,2721,2709,0.943997,1033,512,0,1024,0,128,128,12,0.09375,12,12,0,0,0,0,13,0
dotprod_unroll,2,128,128,64,64,2,2,1,1,1,3,10,5,1,1024,256,16,1766,2697,2786,2733,1.52718,1033,512,0,1024,0,128,128,12,0.09375,12,36,0,207,0,0,28,0
dotprod_unroll,3,128,128,64,64,3,3,1,1,1,3,10,5,1,1024,256,16,1707,2697,2799,2736,1.57996,1033,512,0,1024,0,128,128,12,0.09375,12,39,0,623,0,0,13,0
dotprod_unroll,4,128,128,64,64,4,4,2,1,1,3,10,5,1,1024,256,16,907,2697,2738,2734,2.97354,1033,512,0,1024,0,128,128,12,0.09375,12,37,0,0,0,0,130,0
dotprod_unroll,6,128,128,64,64,6,6,3,1,1,3,10,5,1,1024,256,16,651,2697,2748,2742,4.14286,1033,512,0,1024,0,128,128,12,0.09375,12,45,0,0,0,0,130,0
dotprod_unroll,8,128,128,64,64,8,8,4,1,1,3,10,5,1,1024,256,16,651,2697,2877,2813,4.14286,1033,512,0,1024,0,128,129,12,0.0930233,12,116,0,430,0,0,26,0
matmul,1,128,128,64,64,1,1,1,1,1,3,10,5,1,1024,256,16,23349,16466,17118,16933,0.705212,7514,3468,0,3456,144,1884,1884,186,0.0987261,186,467,0,0,0,0,186,0
matmul,2,128,128,64,64,2,2,1,1,1,3,10,5,1,1024,256,16,15903,16466,17257,16891,1.0354,7514,3468,0,3456,144,1884,1884,186,0.0987261,186,425,0,0,0,0,1887,0
matmul,3,128,128,64,64,3,3,1,1,1,3,10,5,1,1024,256,16,11765,16466,17959,17463,1.39958,7514,3468,0,3456,144,1884,1911,195,0.102041,176,997,0,0,0,0,477,0
