benchmark,width,rob,rs,lsq,ifq,cdb,alu,mul,div,alu_lat,mul_lat,div_lat,mem_lat,fwd,pht,btb,ras,cycles,committed,fetched,issued,ipc,c_alu,c_mul,c_div,c_load,c_store,c_branch,branches,mispredicts,mispred_rate,flushes,squashed,mov,stall_rob,stall_rs,stall_lsq,stall_front,hit_cap
ilp_serial,1,128,128,64,64,1,2,1,1,1,3,10,5,1,1024,256,16,6039,6002,6004,6003,0.993873,4002,0,0,0,0,2000,2000,12,0.006,12,1,0,0,0,0,12,0
ilp_serial,2,128,128,64,64,2,2,1,1,1,3,10,5,1,1024,256,16,4038,6002,6005,6004,1.48638,4002,0,0,0,0,2000,2000,12,0.006,12,2,0,0,0,0,2001,0
ilp_serial,3,128,128,64,64,3,2,1,1,1,3,10,5,1,1024,256,16,3719,6002,6167,6105,1.61387,4002,0,0,0,0,2000,2003,12,0.00599101,12,103,0,2275,0,0,12,0
ilp_serial,4,128,128,64,64,4,2,1,1,1,3,10,5,1,1024,256,16,3238,6002,6191,6127,1.85361,4002,0,0,0,0,2000,2000,12,0.006,12,125,0,2585,0,0,76,0
ilp_serial,6,128,128,64,64,6,2,1,1,1,3,10,5,1,1024,256,16,3189,6002,6074,6011,1.88209,4002,0,0,0,0,2000,2003,12,0.00599101,12,9,0,2685,0,0,170,0
ilp_serial,8,128,128,64,64,8,2,1,1,1,3,10,5,1,1024,256,16,3139,6002,6101,6098,1.91207,4002,0,0,0,0,2000,2000,12,0.006,12,96,0,2665,0,0,261,0
ilp_parallel,1,128,128,64,64,1,2,1,1,1,3,10,5,1,1024,256,16,3039,3002,3004,3003,0.987825,2502,0,0,0,0,500,500,12,0.024,12,1,0,0,0,0,12,0
ilp_parallel,2,128,128,64,64,2,2,1,1,1,3,10,5,1,1024,256,16,1551,3002,3008,3006,1.93553,2502,0,0,0,0,500,500,12,0.024,12,4,0,0,0,0,12,0
ilp_parallel,3,128,128,64,64,3,2,1,1,1,3,10,5,1,1024,256,16,1590,3002,3071,3009,1.88805,2502,0,0,0,0,500,501,12,0.0239521,12,7,0,530,0,0,12,0
ilp_parallel,4,128,128,64,64,4,2,1,1,1,3,10,5,1,1024,256,16,1558,3002,3156,3129,1.92683,2502,0,0,0,0,500,500,12,0.024,12,127,0,849,0,0,37,0
ilp_parallel,6,128,128,64,64,6,2,1,1,1,3,10,5,1,1024,256,16,1613,3002,3193,3129,1.86113,2502,0,0,0,0,500,500,12,0.024,12,127,0,1243,0,0,12,0
